symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
GBPUSD,SELL,LH_LL_CONTINUATION,1.22861,1.22849,1.21218,0.750,2025-01-09 12:10,2025-01-09 12:40,1.22849,TRAILED_SL,1.20,0.03,NY_OPEN,NEUTRAL,True,,False,1,False,0.00
GBPUSD,SELL,LH_LL_CONTINUATION,1.22849,1.22931,1.21206,0.750,2025-01-09 12:50,2025-01-09 13:35,1.22931,SL_HIT,-8.20,-0.19,NY_OPEN,NEUTRAL,True,,False,1,False,0.00
GBPUSD,SELL,LH_LL_CONTINUATION,1.22883,1.22881,1.22463,0.850,2025-01-10 09:40,2025-01-10 10:10,1.22881,TRAILED_SL,2.85,12.40,LONDON_OPEN,SELL,True,,True,0,True,0.00
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,157.43400,157.44400,158.59461,0.950,2025-01-13 08:05,2025-01-13 09:10,157.44400,TRAILED_SL,1.00,0.05,LONDON_OPEN,SELL,True,,True,1,False,0.00
USDJPY,SELL,LH_LL_CONTINUATION,157.11200,157.20500,156.72850,0.850,2025-01-13 16:20,2025-01-13 16:25,157.20500,SL_HIT,-9.30,-1.00,LONDON_CLOSE,SELL,True,,False,0,False,0.00
USDJPY,SELL,LH_LL_CONTINUATION,157.35300,157.49600,156.89250,0.900,2025-01-13 16:55,2025-01-13 17:30,157.49600,SL_HIT,-14.30,-1.00,LONDON_CLOSE,SELL,True,,False,0,False,0.00
GBPUSD,SELL,LH_LL_CONTINUATION,1.21752,1.21712,1.21314,0.950,2025-01-14 13:50,2025-01-14 15:30,1.21550,GIVEBACK_GUARD,11.38,1.04,NY_OPEN,SELL,True,,True,2,True,3.50
GBPUSD,SELL,LH_LL_CONTINUATION,1.21705,1.21698,1.21136,1.000,2025-01-14 16:40,2025-01-14 17:00,1.21761,GIVEBACK_GUARD,6.04,8.75,LONDON_CLOSE,SELL,True,,True,0,True,20.72
USDJPY,SELL,LH_LL_CONTINUATION,157.28100,157.27635,156.26000,0.950,2025-01-15 09:00,2025-01-15 09:15,157.23900,GIVEBACK_GUARD,7.26,15.61,LONDON_OPEN,SELL,True,,True,0,True,15.70
GBPUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,1.21937,1.22198,1.20746,0.950,2025-01-15 09:00,2025-01-15 09:45,1.22198,SL_HIT,-26.10,-1.00,LONDON_OPEN,SELL,True,,False,0,False,0.00
