symbol,setup_type,direction,kill_zone,entry_time,exit_time,entry_price,exit_price,sl_price,tp1_price,pnl_pips,exit_reason,partial_taken
GBPJPY,CONTINUATION_OB,BUY,,2024-11-08 13:45:00+00:00,2024-11-08 18:55:00+00:00,197.643,196.921368,196.921368,,-72.16319999999996,SL_HIT,False
GBPJPY,CONTINUATION_OB,SELL,,2024-11-12 06:15:00+00:00,2024-11-13 16:55:00+00:00,197.214,196.771,198.059328,,44.300000000001205,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2024-11-14 13:30:00+00:00,2024-11-14 17:30:00+00:00,197.37,198.06333600000002,198.06333600000002,,-69.33360000000164,SL_HIT,False
GBPJPY,CONTINUATION_OB,BUY,,2024-11-15 06:00:00+00:00,2024-11-15 09:25:00+00:00,198.337,197.562084,197.562084,,-77.49159999999904,SL_HIT,False
GBPJPY,CONTINUATION_OB,SELL,,2024-11-15 13:30:00+00:00,2024-11-15 15:30:00+00:00,197.215,196.869,198.034278,,34.600000000000364,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2024-11-18 06:00:00+00:00,2024-11-18 12:50:00+00:00,195.16,195.62647199999998,195.62647199999998,,-46.64719999999818,SL_HIT,False
GBPJPY,CONTINUATION_OB,SELL,,2024-11-18 16:00:00+00:00,2024-11-19 10:45:00+00:00,195.454,194.443,195.054639,,88.363319999998,GIVEBACK_GUARD,True
GBPJPY,CONTINUATION_OB,SELL,,2024-11-19 16:00:00+00:00,2024-11-19 16:10:00+00:00,194.7,194.44417799999997,194.44417799999997,,40.931520000002024,TRAILED_SL,True
GBPJPY,FVG_CONTINUATION,SELL,,2024-11-19 16:30:00+00:00,2024-11-19 19:20:00+00:00,194.915,195.706632,195.706632,,-79.16320000000212,SL_HIT,False
GBPJPY,CONTINUATION_OB,SELL,,2024-11-21 13:30:00+00:00,2024-11-21 13:55:00+00:00,195.341,195.288,195.288,,8.479999999999563,TRAILED_SL,True
GBPJPY,CONTINUATION_OB,SELL,,2024-11-21 14:00:00+00:00,2024-11-21 15:50:00+00:00,195.485,195.056,196.38699,,42.900000000000205,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,BUY,,2024-11-21 15:50:00+00:00,2024-11-21 16:15:00+00:00,195.056,195.192,194.829,,13.599999999999568,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,BUY,,2024-11-21 16:20:00+00:00,2024-11-22 01:00:00+00:00,195.127,194.35151800000003,194.35151800000003,,-77.54819999999825,SL_HIT,False
GBPJPY,CONTINUATION_OB,BUY,,2024-11-22 08:45:00+00:00,2024-11-22 11:00:00+00:00,194.688,193.865492,193.865492,,-82.25079999999991,SL_HIT,False
GBPJPY,CONTINUATION_OB,BUY,,2024-11-22 13:30:00+00:00,2024-11-22 15:15:00+00:00,193.019,193.305,192.44933,,28.600000000000136,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,BUY,,2024-11-22 15:15:00+00:00,2024-11-22 16:20:00+00:00,193.089,193.576,192.44933,,48.69999999999948,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,BUY,,2024-11-22 16:20:00+00:00,2024-11-25 00:50:00+00:00,193.568,194.075,192.44933,,50.69999999999766,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2024-11-25 06:00:00+00:00,2024-11-25 15:15:00+00:00,194.038,193.694,194.626476,,34.40000000000225,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2024-11-25 15:15:00+00:00,2024-11-25 17:05:00+00:00,193.819,193.475,194.53930200000002,,34.39999999999941,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2024-11-26 14:30:00+00:00,2024-11-26 18:00:00+00:00,193.195,192.881,193.993212,,31.399999999999295,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2024-11-29 16:00:00+00:00,2024-11-29 18:15:00+00:00,190.231,191.03731200000001,191.03731200000001,,-80.63120000000197,SL_HIT,False
GBPJPY,CONTINUATION_OB,SELL,,2024-12-02 13:30:00+00:00,2024-12-02 14:55:00+00:00,190.901,190.135,190.656993,,59.92084000000034,GIVEBACK_GUARD,True
GBPJPY,CONTINUATION_OB,SELL,,2024-12-02 15:30:00+00:00,2024-12-02 17:25:00+00:00,190.483,189.309,190.077588,,95.60944000000006,GIVEBACK_GUARD,True
GBPJPY,CONTINUATION_OB,SELL,,2024-12-03 13:45:00+00:00,2024-12-03 15:45:00+00:00,189.585,188.974,190.50525,,61.10000000000184,GIVEBACK_GUARD,False
