symbol,entry_time,exit_time,direction,setup,killzone,pnl_pips,rr_achieved,usd_pnl,exit_reason,entry_price,sl_price,tp_price,partial_taken,trail_count
GBPUSD,2024-11-08T16:20:00+00:00,2024-11-08T19:25:00+00:00,SELL,CHOCH,LONDON_CLOSE,51.0,0.8637,43.18,GIVEBACK_GUARD,1.29424,1.3001451,1.2794772500000002,False,0
GBPUSD,2024-11-11T16:05:00+00:00,2024-11-11T16:25:00+00:00,SELL,ORDER_BLOCK,LONDON_CLOSE,-5.8,-1.0,-50.0,SL_HIT,1.28696,1.28754,1.2852200000000007,False,0
GBPUSD,2024-11-11T16:35:00+00:00,2024-11-12T04:50:00+00:00,SELL,FVG_CONTINUATION,LONDON_CLOSE,18.7,0.5245,26.22,GIVEBACK_GUARD,1.28678,1.2903455400000001,1.27786615,False,0
GBPUSD,2024-11-12T15:50:00+00:00,2024-11-12T16:35:00+00:00,SELL,CHOCH,NY_OPEN,11.86,2.0991,104.96,GIVEBACK_GUARD,1.28047,1.279905,1.2690648000000002,True,0
GBPUSD,2024-11-12T16:35:00+00:00,2024-11-12T18:10:00+00:00,SELL,CHOCH,LONDON_CLOSE,33.4,0.5064,25.32,GIVEBACK_GUARD,1.27901,1.28560608,1.2625198,False,0
GBPUSD,2024-11-13T15:40:00+00:00,2024-11-13T16:40:00+00:00,SELL,LIQUIDITY_SWEEP_REVERSAL,NY_OPEN,15.56,1.6041,80.21,GIVEBACK_GUARD,1.27439,1.2734199999999998,1.265047875,True,0
GBPUSD,2024-11-13T16:40:00+00:00,2024-11-13T17:10:00+00:00,SELL,CHOCH,LONDON_CLOSE,33.6,0.5606,28.03,GIVEBACK_GUARD,1.27341,1.2794037,1.2584257499999998,False,0
GBPUSD,2024-11-14T13:40:00+00:00,2024-11-14T16:15:00+00:00,SELL,FVG_CONTINUATION,NY_OPEN,-26.21,-1.0,-50.0,SL_HIT,1.26538,1.26800094,1.2588276499999997,False,0
GBPUSD,2024-11-15T14:35:00+00:00,2024-11-15T17:20:00+00:00,BUY,CHOCH,NY_OPEN,-45.6,-1.0,-50.0,SL_HIT,1.2668,1.26224046,1.2781988499999999,False,0
GBPUSD,2024-11-19T13:40:00+00:00,2024-11-19T18:20:00+00:00,SELL,FVG_CONTINUATION,NY_OPEN,-46.2,-1.0,-50.0,SL_HIT,1.26315,1.26777048,1.2515988,False,0
GBPUSD,2024-11-21T16:15:00+00:00,2024-11-21T16:20:00+00:00,BUY,ORDER_BLOCK,LONDON_CLOSE,-4.4,-1.0,-50.0,SL_HIT,1.26363,1.26319,1.26495,False,0
GBPUSD,2024-11-21T16:55:00+00:00,2024-11-21T17:05:00+00:00,BUY,ORDER_BLOCK,LONDON_CLOSE,6.04,3.3556,167.78,TRAILED_SL,1.26355,1.26452,1.2646299999999997,True,1
GBPUSD,2024-11-25T16:40:00+00:00,2024-11-26T02:05:00+00:00,BUY,CONTINUATION_OB,LONDON_CLOSE,-58.4,-1.0,-50.0,SL_HIT,1.25838,1.2525399,1.2759003000000004,False,0
GBPUSD,2024-11-26T15:15:00+00:00,2024-11-26T15:20:00+00:00,BUY,ORDER_BLOCK,NY_OPEN,-2.6,-1.0,-50.0,SL_HIT,1.25956,1.2593,1.2603399999999998,False,0
GBPUSD,2024-11-26T15:55:00+00:00,2024-11-26T16:00:00+00:00,BUY,ORDER_BLOCK,NY_OPEN,-5.2,-1.0,-50.0,SL_HIT,1.25811,1.25759,1.2596700000000003,False,0
GBPUSD,2024-11-26T16:25:00+00:00,2024-11-26T16:30:00+00:00,BUY,ORDER_BLOCK,LONDON_CLOSE,-7.9,-1.0,-50.0,SL_HIT,1.2582,1.2574100000000001,1.2605699999999995,False,0
